7-zip.dll | 0x1000802a | add byte ptr [rax], al ; add byte ptr [rbx], bh ; retf 0x840f
7-zip.dll | 0x10007e0a | add byte ptr [rax], al ; add byte ptr [rcx + 0x5c], al ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10005061 | add byte ptr [rax], al ; add byte ptr [rcx - 0x75], cl ; retf
7-zip.dll | 0x100036f9 | add byte ptr [rax], al ; add byte ptr [rdi + 0x5e], bl ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x100084a0 | add byte ptr [rax], al ; add byte ptr [rdi + 0x5e], bl ; pop rbx ; ret
7-zip.dll | 0x10003457 | add byte ptr [rax], al ; add byte ptr [rdx], bh ; ret
7-zip.dll | 0x100077e4 | add byte ptr [rax], al ; add byte ptr [rsi - 0x46], ah ; add byte ptr cs:[rax - 0x75], cl ; retf
7-zip.dll | 0x1000106c | add byte ptr [rax], al ; add rsp, 0x18 ; ret
7-zip.dll | 0x10001444 | add byte ptr [rax], al ; add rsp, 0x20 ; pop rbp ; ret
7-zip.dll | 0x10004e36 | add byte ptr [rax], al ; add rsp, 0x20 ; pop rbx ; ret
7-zip.dll | 0x10001ab3 | add byte ptr [rax], al ; add rsp, 0x20 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10004193 | add byte ptr [rax], al ; add rsp, 0x28 ; ret
7-zip.dll | 0x1000b3f9 | add byte ptr [rax], al ; add rsp, 0x30 ; pop rbx ; ret
7-zip.dll | 0x10004e7a | add byte ptr [rax], al ; add rsp, 0x30 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x100010fc | add byte ptr [rax], al ; add rsp, 0x40 ; pop rbx ; ret
7-zip.dll | 0x10004eb5 | add byte ptr [rax], al ; add rsp, 0x48 ; ret
7-zip.dll | 0x10003d65 | add byte ptr [rax], al ; mov al, dl ; add rsp, 0x28 ; ret
7-zip.dll | 0x1000211f | add byte ptr [rax], al ; mov dword ptr [rcx + 8], edx ; ret
7-zip.dll | 0x10004deb | add byte ptr [rax], al ; mov eax, ebx ; add rsp, 0x30 ; pop rbx ; ret
7-zip.dll | 0x10003f09 | add byte ptr [rax], al ; mov eax, edx ; add rsp, 0x28 ; ret
7-zip.dll | 0x1000523f | add byte ptr [rax], al ; mov rcx, rdx ; call 0x10001c8f
7-zip.dll | 0x10007e0b | add byte ptr [rax], al ; pop r12 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10002a65 | add byte ptr [rax], al ; pop rbx ; ret
7-zip.dll | 0x10002e75 | add byte ptr [rax], al ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10003f64 | add byte ptr [rax], al ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10003b18 | add byte ptr [rax], al ; ret
7-zip.dll | 0x10006aa6 | add byte ptr [rax], al ; setne al ; ret
7-zip.dll | 0x1000b568 | add byte ptr [rax], al ; xor eax, eax ; add rsp, 0x20 ; pop rbx ; ret
7-zip.dll | 0x100020af | add byte ptr [rbp + 6], dh ; mov eax, 0xffffffff ; ret
7-zip.dll | 0x1000b73a | add byte ptr [rbp + 7], dh ; xor eax, eax ; add rsp, 0x28 ; ret
7-zip.dll | 0x10004040 | add byte ptr [rbp + rax - 0x7d], dh ; ret
7-zip.dll | 0x10006680 | add byte ptr [rbp - 0x26], dh ; ret
7-zip.dll | 0x10007f21 | add byte ptr [rbp - 0xe68b40], al ; ret
7-zip.dll | 0x10003172 | add byte ptr [rbx + 0x3bdb33f0], cl ; ret
7-zip.dll | 0x100015d8 | add byte ptr [rbx], bh ; ret
7-zip.dll | 0x1000802c | add byte ptr [rbx], bh ; retf 0x840f
7-zip.dll | 0x10008034 | add byte ptr [rbx], bh ; retf 0x8e0f
7-zip.dll | 0x100014d3 | add byte ptr [rbx], dh ; fstp xword ptr [rdx] ; ret
7-zip.dll | 0x10007e0c | add byte ptr [rcx + 0x5c], al ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10008e78 | add byte ptr [rcx - 0x75], al ; ret
7-zip.dll | 0x10005063 | add byte ptr [rcx - 0x75], cl ; retf
7-zip.dll | 0x10008e81 | add byte ptr [rcx - 1], al ; ret
7-zip.dll | 0x1000824b | add byte ptr [rcx], al ; add byte ptr [rax], al ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10002e76 | add byte ptr [rdi + 0x5e], bl ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10003f65 | add byte ptr [rdi + 0x5e], bl ; pop rbx ; ret
7-zip.dll | 0x10002077 | add byte ptr [rdi + rcx - 0x49], al ; ret 0x2574
7-zip.dll | 0x1000b4e3 | add byte ptr [rdx], al ; add byte ptr [rax - 0x39], cl ; ret 1
7-zip.dll | 0x10003df9 | add byte ptr [rdx], al ; add rsp, 0x28 ; ret
7-zip.dll | 0x100014ed | add byte ptr [rdx], bh ; ret
7-zip.dll | 0x10003df8 | add byte ptr [rdx], r8b ; add rsp, 0x28 ; ret
7-zip.dll | 0x100077e6 | add byte ptr [rsi - 0x46], ah ; add byte ptr cs:[rax - 0x75], cl ; retf
7-zip.dll | 0x100077e9 | add byte ptr cs:[rax - 0x75], cl ; retf
7-zip.dll | 0x1000bd39 | add byte ptr gs:[rax], al ; add rsp, 0x28 ; ret
7-zip.dll | 0x10001230 | add cl, byte ptr [rax + 0x63] ; ret
7-zip.dll | 0x10001495 | add cl, byte ptr [rax - 0x73] ; add al, 0x50 ; ret
7-zip.dll | 0x10001fc2 | add cl, byte ptr [rax - 0x7d] ; ret 0x4902
7-zip.dll | 0x1000175e | add cl, byte ptr [rax - 1] ; ret 0x4566
7-zip.dll | 0x1000175a | add cl, byte ptr [rcx - 0x7d] ; ret 0x4802
7-zip.dll | 0x10007575 | add dword ptr [rax - 0x7d], ecx ; ret 0x4808
7-zip.dll | 0x10004191 | add dword ptr [rax], eax ; add byte ptr [rax], al ; add rsp, 0x28 ; ret
7-zip.dll | 0x10003b16 | add dword ptr [rax], eax ; add byte ptr [rax], al ; ret
7-zip.dll | 0x10008032 | add dword ptr [rax], eax ; add byte ptr [rbx], bh ; retf 0x8e0f
7-zip.dll | 0x10008e76 | add dword ptr [rax], eax ; add byte ptr [rcx - 0x75], al ; ret
7-zip.dll | 0x10004d41 | add dword ptr [rax], eax ; add byte ptr [rdi + 0x5e], bl ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x1000824c | add dword ptr [rax], eax ; add byte ptr [rdi + 0x5e], bl ; pop rbx ; ret
7-zip.dll | 0x10001f5e | add dword ptr [rdi + 8], ebx ; add rsp, 0x28 ; pop rdi ; pop rbx ; ret
7-zip.dll | 0x10006da4 | add dword ptr [rdx], eax ; add al, 0x80 ; add rsp, 0x28 ; ret
7-zip.dll | 0x10002825 | add eax, 0x14894366 ; push rbx ; inc r10 ; jmp 0x10002881
7-zip.dll | 0x1000bd37 | add eax, 0x655c ; add rsp, 0x28 ; ret
7-zip.dll | 0x10006a98 | add eax, 0xb83b ; ret
7-zip.dll | 0x10006aa3 | add eax, 0xb840 ; setne al ; ret
7-zip.dll | 0x100050a7 | add eax, dword ptr [rcx - 0x75] ; ret
7-zip.dll | 0x10003dbb | add eax, dword ptr [rcx - 0x75] ; ror byte ptr [rcx + 3], cl ; ret
7-zip.dll | 0x10007433 | add eax, dword ptr [rdx] ; add byte ptr [rbx], bh ; ret
7-zip.dll | 0x10001749 | add ebx, eax ; xor al, al ; ret
7-zip.dll | 0x100049ce | add ebx, ebp ; or cl, byte ptr [rcx - 0x75] ; retf
7-zip.dll | 0x10002067 | add ecx, dword ptr [rax - 0x2f] ; clc ; add rsp, 0x20 ; pop rbx ; ret
7-zip.dll | 0x10001909 | add ecx, dword ptr [rax - 1] ; ret
7-zip.dll | 0x1000190f | add ecx, dword ptr [rcx - 1] ; ret
7-zip.dll | 0x10003d35 | add esi, dword ptr [rbx] ; rol bl, 0xb8 ; add dword ptr [rax], eax ; add byte ptr [rax], al ; ret
7-zip.dll | 0x10008249 | add esp, 0x100 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x1000106f | add esp, 0x18 ; ret
7-zip.dll | 0x10001700 | add esp, 0x20 ; pop r12 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10001447 | add esp, 0x20 ; pop rbp ; ret
7-zip.dll | 0x1000112c | add esp, 0x20 ; pop rbx ; ret
7-zip.dll | 0x100017ee | add esp, 0x20 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10002a61 | add esp, 0x230 ; pop rbx ; ret
7-zip.dll | 0x10003f60 | add esp, 0x230 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10001889 | add esp, 0x28 ; pop rdi ; pop rbx ; ret
7-zip.dll | 0x1000119b | add esp, 0x28 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10001a5c | add esp, 0x28 ; ret
7-zip.dll | 0x10003002 | add esp, 0x280 ; pop rbx ; ret
7-zip.dll | 0x100052b2 | add esp, 0x30 ; pop r12 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x100068e5 | add esp, 0x30 ; pop r13 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10001bf0 | add esp, 0x30 ; pop rbx ; ret
7-zip.dll | 0x10002645 | add esp, 0x30 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10006f73 | add esp, 0x38 ; pop r12 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10004b79 | add esp, 0x38 ; pop rdi ; pop rbx ; ret
7-zip.dll | 0x10002497 | add esp, 0x38 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10003a32 | add esp, 0x38 ; ret
7-zip.dll | 0x10005493 | add esp, 0x40 ; pop r12 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10008348 | add esp, 0x40 ; pop rbp ; ret
7-zip.dll | 0x100010ff | add esp, 0x40 ; pop rbx ; ret
7-zip.dll | 0x100026ca | add esp, 0x40 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10002d30 | add esp, 0x48 ; pop rdi ; pop rbx ; ret
7-zip.dll | 0x10004eb8 | add esp, 0x48 ; ret
7-zip.dll | 0x1000160d | add esp, 0x50 ; pop r12 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x100067a2 | add esp, 0x50 ; pop rbx ; ret
7-zip.dll | 0x10005591 | add esp, 0x50 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10006358 | add esp, 0x58 ; pop r12 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10005b28 | add esp, 0x58 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x1000b366 | add esp, 0x58 ; ret
7-zip.dll | 0x1000710d | add esp, 0x60 ; pop r12 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x100050ac | add esp, 0x60 ; pop rbx ; ret
7-zip.dll | 0x10002c40 | add esp, 0x68 ; pop rdi ; pop rbx ; ret
7-zip.dll | 0x100049dc | add esp, 0x68 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10006e90 | add esp, 0x68 ; ret
7-zip.dll | 0x10004b05 | add esp, 0x70 ; pop r12 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x100057a0 | add esp, 0x78 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10006d0e | add esp, 0x90 ; pop rbx ; ret
7-zip.dll | 0x1000849d | add esp, 0x90 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10001cb2 | add esp, dword ptr [rsi - 0x39] ; add byte ptr [rax], al ; add byte ptr [rax - 0x75], cl ; ret
7-zip.dll | 0x1000106e | add rsp, 0x18 ; ret
7-zip.dll | 0x10001446 | add rsp, 0x20 ; pop rbp ; ret
7-zip.dll | 0x1000112b | add rsp, 0x20 ; pop rbx ; ret
7-zip.dll | 0x100017ed | add rsp, 0x20 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10002a60 | add rsp, 0x230 ; pop rbx ; ret
7-zip.dll | 0x10001888 | add rsp, 0x28 ; pop rdi ; pop rbx ; ret
7-zip.dll | 0x1000119a | add rsp, 0x28 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10001a5b | add rsp, 0x28 ; ret
7-zip.dll | 0x10003001 | add rsp, 0x280 ; pop rbx ; ret
7-zip.dll | 0x10001bef | add rsp, 0x30 ; pop rbx ; ret
7-zip.dll | 0x10002644 | add rsp, 0x30 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10006f72 | add rsp, 0x38 ; pop r12 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10004b78 | add rsp, 0x38 ; pop rdi ; pop rbx ; ret
7-zip.dll | 0x10002496 | add rsp, 0x38 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10003a31 | add rsp, 0x38 ; ret
7-zip.dll | 0x10008347 | add rsp, 0x40 ; pop rbp ; ret
7-zip.dll | 0x100010fe | add rsp, 0x40 ; pop rbx ; ret
7-zip.dll | 0x100026c9 | add rsp, 0x40 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10002d2f | add rsp, 0x48 ; pop rdi ; pop rbx ; ret
7-zip.dll | 0x10004eb7 | add rsp, 0x48 ; ret
7-zip.dll | 0x100067a1 | add rsp, 0x50 ; pop rbx ; ret
7-zip.dll | 0x10005590 | add rsp, 0x50 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10006357 | add rsp, 0x58 ; pop r12 ; pop rdi ; pop rsi ; pop rbx ; ret
7-zip.dll | 0x10005b27 | add rsp, 0x58 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x1000b365 | add rsp, 0x58 ; ret
7-zip.dll | 0x100050ab | add rsp, 0x60 ; pop rbx ; ret
7-zip.dll | 0x10002c3f | add rsp, 0x68 ; pop rdi ; pop rbx ; ret
7-zip.dll | 0x100049db | add rsp, 0x68 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10006e8f | add rsp, 0x68 ; ret
7-zip.dll | 0x1000579f | add rsp, 0x78 ; pop rdi ; pop rsi ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10006d0d | add rsp, 0x90 ; pop rbx ; ret
7-zip.dll | 0x10008e74 | and al, 0x18 ; add dword ptr [rax], eax ; add byte ptr [rcx - 0x75], al ; ret
7-zip.dll | 0x1000b7b6 | and al, 0x30 ; add rsp, 0x28 ; ret
7-zip.dll | 0x1000b602 | and al, 0x38 ; add rsp, 0x28 ; ret
7-zip.dll | 0x1000ba19 | and al, 0x38 ; add rsp, 0x58 ; ret
7-zip.dll | 0x100060c0 | and al, 0x38 ; call 0x100023a4
7-zip.dll | 0x100060bf | and al, 0x38 ; call 0x100023a5
7-zip.dll | 0x10003abb | and al, 0x39 ; or al, 0x75 ; or byte ptr [rax - 0x75], cl ; retf
7-zip.dll | 0x1000b8e9 | and al, 0x48 ; add rsp, 0x28 ; ret
7-zip.dll | 0x1000b94e | and al, 0x48 ; add rsp, 0x68 ; ret
7-zip.dll | 0x10004f29 | and al, 0x48 ; mov byte ptr [rbx], cl ; add rsp, 0x20 ; pop rbx ; ret
7-zip.dll | 0x10004f05 | and al, 0x48 ; mov dword ptr [rbx], ecx ; add rsp, 0x20 ; pop rbx ; ret
7-zip.dll | 0x10009174 | and al, 0x50 ; add dword ptr [rax], eax ; add byte ptr [rcx - 0x75], al ; ret
7-zip.dll | 0x10005d86 | and al, 0x68 ; mov rcx, rsi ; call 0x10001fe7
7-zip.dll | 0x1000bcb3 | and al, 0x78 ; add rsp, 0x68 ; ret
7-zip.dll | 0x1000492c | and al, 0x8b ; retf
7-zip.dll | 0x1000505f | and al, 0x90 ; add byte ptr [rax], al ; add byte ptr [rcx - 0x75], cl ; retf
7-zip.dll | 0x10008b63 | and al, 0x98 ; add byte ptr [rax], al ; add al, ch ; ret
